date,next_date,regime,strategy_return,spy_return,turnover,active_return
2022-09-30,2022-10-31,HIGH_REAL_RATES,0.1725156337537435,0.0812757347561823,0.7566316110001808,0.09123989899756121
2021-09-30,2021-10-29,RISK_ON,0.109588698279499,0.070163535063489,0.4273870760449225,0.03942516321601
2020-04-30,2020-05-29,RECESSION,0.1034165021118834,0.0476450198464102,0.7880437437598413,0.055771482265473196
2024-01-31,2024-02-29,STAGFLATION,0.0972118269270215,0.0521868939685583,0.5532113981066272,0.0450249329584632
2018-07-31,2018-08-31,RISK_ON,0.0888273721603275,0.0319197644194748,0.4347180982788028,0.056907607740852705
2024-10-31,2024-11-29,HIGH_REAL_RATES,0.0842145032071126,0.0596336445666134,1.0,0.0245808586404992
2020-03-31,2020-04-30,NEUTRAL,0.0784311123431325,0.1269836934642723,0.7609035031954211,-0.04855258112113979
2023-05-31,2023-06-30,NEUTRAL,0.077274175108559,0.0647997156627675,0.494794626991684,0.012474459445791494
2023-12-29,2024-01-31,HIGH_REAL_RATES,0.0756321635354524,0.0159264537676127,0.5584664382149335,0.059705709767839704
2020-06-30,2020-07-31,RECESSION,0.0732297174811149,0.0588919286366991,0.7010343228991941,0.014337788844415798
