date,next_date,regime,strategy_return,spy_return,turnover,active_return
2018-09-28,2018-10-31,RISK_ON,-0.1367042523941502,-0.0691042977514496,0.5068148332293152,-0.0675999546427006
2020-02-28,2020-03-31,NEUTRAL,-0.1134627432443782,-0.124871382216962,0.4874066215546239,0.011408638972583804
2022-05-31,2022-06-30,RISK_ON,-0.1109314908332603,-0.0824602631707528,0.4801752118933476,-0.028471227662507495
2021-12-31,2022-01-31,RISK_ON,-0.1084096871299108,-0.0527412449548397,0.5070632953386224,-0.055668442175071095
2021-08-31,2021-09-30,RISK_ON,-0.0890124747914641,-0.0466053391645534,0.5829313097239817,-0.042407135626910696
2022-08-31,2022-09-30,RISK_ON,-0.0781086075224188,-0.0924460101389418,0.5441496892730547,0.014337402616522998
2024-03-28,2024-04-30,HIGH_REAL_RATES,-0.0741502318420715,-0.0403195712622416,0.4018573561500087,-0.033830660579829905
2025-03-31,2025-04-30,HIGH_REAL_RATES,-0.064245333654706,-0.008670276875496,0.7044379344115618,-0.05557505677921
2018-11-30,2018-12-31,RISK_ON,-0.0630089740646455,-0.0880483333442253,0.4206130542983832,0.025039359279579787
2019-04-30,2019-05-31,RISK_ON,-0.052638543024115,-0.0637710247904957,0.5322419613157738,0.011132481766380709
