regime,months,strategy_mean_month,spy_mean_month,active_mean_month,active_annualized_arithmetic,strategy_positive_month_rate,active_positive_month_rate,strategy_vol_annualized,active_vol_annualized
RISK_ON,35,0.005736351842286873,-0.0019839261140743533,0.007720277956361227,0.09264333547633473,0.7142857142857143,0.6,0.20553865728176623,0.12005651268535582
HIGH_REAL_RATES,24,0.02150219484190129,0.009762176480393443,0.011740018361507851,0.14088022033809422,0.625,0.5833333333333334,0.19056273831573114,0.14561172171114328
RECESSION,18,0.021407348722978402,0.031189463517887484,-0.009782114794909084,-0.11738537753890901,0.6666666666666666,0.5555555555555556,0.140776815762318,0.1287168167587973
NEUTRAL,13,0.013233596014625534,0.010274828759835632,0.0029587672547899003,0.0355052070574788,0.6923076923076923,0.6153846153846154,0.19704473126352381,0.11626289793591486
STAGFLATION,13,0.020306134125758917,0.029678209301413704,-0.009372075175654786,-0.11246490210785744,0.6923076923076923,0.38461538461538464,0.14717300677261477,0.19097804642968916
