portfolio,total_return,cagr,annual_volatility,sharpe_0rf,sortino_0rf,max_drawdown,calmar,positive_month_rate,months,longest_underwater_months
strategy,3.0019926893069995,0.17535243546370838,0.18247482495678302,0.9820790889369612,1.4672528768683877,-0.20269843521527942,0.8650902276451826,0.6796116504854369,103,10
SPY,2.081446833341111,0.1400982857993378,0.1636378280241755,0.8868659311198722,1.3756411368079753,-0.23927196046704435,0.58551902833025,0.6699029126213593,103,23
