date,stock_weight_hhi
2018-01-31,0.10676488199198823
2018-02-28,0.11050081543559354
2018-03-29,0.11068773139781313
2018-04-30,0.10628799830935375
2018-05-31,0.10417972041179391
2018-06-29,0.10686715650908249
2018-07-31,0.10199338812234862
2018-08-31,0.1043024387339343
2018-09-28,0.11690055646719597
2018-10-31,0.1066534932707808
2018-11-30,0.10428432387501207
2018-12-31,0.10498572273554355
2019-01-31,0.1051407398765786
2019-02-28,0.10318294918246618
2019-03-29,0.10772977616941956
2019-04-30,0.17651058245240542
2019-05-31,0.11615585102351834
2019-06-28,0.11004930894087979
2019-07-31,0.13822655532365632
2019-08-30,0.1025829653323984
2019-09-30,0.1045025310826723
2019-10-31,0.10314159307225756
2019-11-29,0.10451384453400486
2019-12-31,0.10366298370405498
2020-01-31,0.10469861801509645
2020-02-28,0.13814656079940876
2020-03-31,0.1056676585696554
2020-04-30,0.2563881935265248
2020-05-29,0.2563789178455988
2020-06-30,0.10519786582642514
2020-07-31,0.11654575542952847
2020-08-31,0.10092171928013438
2020-09-30,0.10250084318294755
2020-10-30,0.10210645001510152
2020-11-30,0.10210559514220847
2020-12-31,0.10259269339325713
2021-01-29,0.11668115003981044
2021-02-26,0.10504331280476337
2021-03-31,0.10289540503124625
2021-04-30,0.10418758481042253
2021-05-28,0.13764141127797622
2021-06-30,0.1047491029440401
2021-07-30,0.10505962812611233
2021-08-31,0.10549895646981627
2021-09-30,0.10499863829253918
2021-10-29,0.1051771105323747
2021-11-30,0.10369150311160977
2021-12-31,0.13844908257545008
2022-01-31,0.11692793610694212
2022-02-28,0.10366147496155267
2022-03-31,0.10490948422726529
2022-04-29,0.10243683716737875
2022-05-31,0.10476099697072752
2022-06-30,0.10522162377407017
2022-07-29,0.11694855681757597
2022-08-31,0.10407470584513996
2022-09-30,0.10461065930565637
2022-10-31,0.10471114510209079
2022-11-30,0.1053514872787401
2022-12-30,0.13791429836350405
2023-01-31,0.13765249937146057
2023-02-28,0.10428033444704753
2023-03-31,0.1378183126042299
2023-04-28,0.11676580590980633
2023-05-31,0.10707804004221798
2023-06-30,0.10429665739615067
2023-07-31,0.10433688137873143
2023-08-31,0.2564097425038406
2023-09-29,0.10592130455172946
2023-10-31,0.10622317452944009
2023-11-30,0.10713508694397704
2023-12-29,0.10988644935511083
2024-01-31,0.1162585682456327
2024-02-29,0.13779363875284517
2024-03-28,0.1099154578820385
2024-04-30,0.10478795784216609
2024-05-31,0.1104359835228186
2024-06-28,0.10697035711632621
2024-07-31,0.10460666357646577
2024-08-30,0.10428920631254067
2024-09-30,0.11004062110630804
2024-10-31,0.10128276600576394
2024-11-29,0.11613134719605961
2024-12-31,0.13763866437258493
2025-01-31,0.10508417912558643
2025-02-28,0.17645553869547054
2025-03-31,0.10979635696254629
2025-04-30,0.17628638830842827
2025-05-30,0.1043348742677557
2025-06-30,0.10342565453084145
2025-07-31,0.10203675647948111
2025-08-29,0.10476572992982995
2025-09-30,0.10160626946303739
2025-10-31,0.10479498179226256
2025-11-28,0.11670448493666707
2025-12-31,0.11021213201579766
2026-01-30,0.10416460362460135
2026-02-27,0.10492214514224282
2026-03-31,0.10442696046973463
2026-04-30,0.13744740507798603
2026-05-29,0.10482705915681619
2026-06-30,0.10313366023560237
2026-07-31,0.10451777066987505
