yahoo_symbol
ABMD
ADS
AET
AGN
ALXN
ANDV
ANSS
ARNC
ATVI
BK
CA
CELG
CERN
CHK
CMA
COL
CSRA
CTLT
CTRA
CTXS
CXO
DAY
DFS
DISCA
DISCK
DISH
DPS
DRE
DWDP
EA
ESRX
ETFC
EVHC
FBHS
FL
FLIR
FRC
GGP
GPS
HBI
HES
HFC
HOLX
IPG
JNPR
JWN
K
KSU
LLL
MON
MRO
MXIM
NBL
NFX
NLSN
PBCT
PDCO
PXD
RHT
RTN
SATS
SCG
SEE
SIVB
SNI
SRCL
TIF
TSS
TWTR
TWX
VAR
VIAB
WBA
WCG
WYN
XEC
XL
XLNX
