window_months,start,end,strategy_cagr,spy_cagr,excess_cagr
36,2018-01-31,2021-01-29,0.10552270027751631,0.1156151613651093,-0.010092461087592985
36,2018-02-28,2021-02-26,0.11210157612308502,0.13984684991771812,-0.027745273794633096
36,2018-03-29,2021-03-31,0.12534234255691534,0.16760897888325443,-0.04226663632633909
36,2018-04-30,2021-04-30,0.14430887212902088,0.1858095268881439,-0.04150065475912301
36,2018-05-31,2021-05-28,0.1312665377216149,0.17892281880273941,-0.04765628108112452
36,2018-06-29,2021-06-30,0.1472212560156987,0.18540315272147723,-0.03818189670577854
36,2018-07-31,2021-07-30,0.15825888249265252,0.1805696267436332,-0.022310744250980674
36,2018-08-31,2021-08-31,0.14579707651893314,0.1797453146175374,-0.033948238098604255
36,2018-09-28,2021-09-30,0.12282709550002102,0.15883338239585543,-0.036006286895834405
36,2018-10-31,2021-10-29,0.22080704049709654,0.2139590539727354,0.006847986524361138
36,2018-11-30,2021-11-30,0.21810186707307988,0.20330437366818055,0.014797493404899331
36,2018-12-31,2021-12-31,0.2643835481843728,0.25968829176447983,0.00469525641989299
36,2019-01-31,2022-01-31,0.1946320622893205,0.20578324187282737,-0.011151179583506865
36,2019-02-28,2022-02-28,0.185394579868845,0.18117343203036662,0.0042211478384783785
36,2019-03-29,2022-03-31,0.1951842695148749,0.18866295400138577,0.006521315513489112
36,2019-04-30,2022-04-29,0.15696948282068557,0.1375328763211292,0.019436606499556364
36,2019-05-31,2022-05-31,0.18718464897475973,0.16366955695658558,0.023515092018174144
36,2019-06-28,2022-06-30,0.1176245185611664,0.105688206582776,0.011936311978390401
36,2019-07-31,2022-07-29,0.1266156802962204,0.1329554261427257,-0.006339745846505318
36,2019-08-30,2022-08-31,0.1218460379063595,0.12363841969168754,-0.0017923817853280344
36,2019-09-30,2022-09-30,0.10323056029093935,0.08092189344728062,0.02230866684365873
36,2019-10-31,2022-10-31,0.16883251591242665,0.10139045232986477,0.06744206358256188
36,2019-11-29,2022-11-30,0.18399578000382255,0.10821929685738807,0.07577648314643448
36,2019-12-31,2022-12-30,0.16267084063480408,0.07618468315542803,0.08648615747937605
36,2020-01-31,2023-01-31,0.1363069896296527,0.09843508007151636,0.03787190955813635
36,2020-02-28,2023-02-28,0.15673299200240565,0.11950901996146279,0.037223972040942854
36,2020-03-31,2023-03-31,0.20388760606310274,0.18469720775210097,0.019190398311001777
36,2020-04-30,2023-04-28,0.17583499434664107,0.14444740491515873,0.03138758943148234
36,2020-05-29,2023-05-31,0.16405675577523482,0.1285596081168019,0.035497147658432926
36,2020-06-30,2023-06-30,0.2070554180343014,0.14569485640776603,0.06136056162653536
36,2020-07-31,2023-07-31,0.19037274428232642,0.1361817666498608,0.05419097763246561
36,2020-08-31,2023-08-31,0.16815749802384827,0.10486356351987802,0.06329393450397025
36,2020-09-30,2023-09-29,0.17872152458661206,0.1010276389546152,0.07769388563199686
36,2020-10-30,2023-10-31,0.182314672878493,0.10224011430866042,0.08007455856983259
36,2020-11-30,2023-11-30,0.17606299970537354,0.09643291452898994,0.07963008517638359
36,2020-12-31,2023-12-29,0.17750184306028105,0.0994578334173779,0.07804400964290314
36,2021-01-29,2024-01-31,0.2126407556289467,0.10904402927515933,0.10359672635378736
36,2021-02-26,2024-02-29,0.23526466302908822,0.11774501731634879,0.11751964571273943
36,2021-03-31,2024-03-28,0.2430751699852769,0.11320122379832043,0.12987394618695647
36,2021-04-30,2024-04-30,0.19076509085547277,0.0793246153623639,0.11144047549310887
36,2021-05-28,2024-05-31,0.1930349758529415,0.09483242565459737,0.09820255019834412
36,2021-06-30,2024-06-28,0.18852050676357046,0.09940088888504461,0.08911961787852585
36,2021-07-30,2024-07-31,0.16951297600183923,0.09498184101263307,0.07453113498920616
36,2021-08-31,2024-08-30,0.16892456092361607,0.09271081689299598,0.07621374403062009
36,2021-09-30,2024-09-30,0.2060929887032492,0.11795304560775222,0.088139943095497
36,2021-10-29,2024-10-31,0.16936382178355047,0.08970568971170811,0.07965813207184236
36,2021-11-30,2024-11-29,0.19676234185408092,0.11394140430516297,0.08282093754891795
36,2021-12-31,2024-12-31,0.16376028295231237,0.08840824534108727,0.07535203761122511
36,2022-01-31,2025-01-31,0.22709154736140724,0.1180782318467688,0.10901331551463844
36,2022-02-28,2025-02-28,0.22573930883471083,0.12450149169707037,0.10123781713764046
36,2022-03-31,2025-03-31,0.18462306104968595,0.08972884601358566,0.0948942150361003
36,2022-04-29,2025-04-30,0.17778434040259472,0.12035642753941311,0.05742791286318161
36,2022-05-31,2025-05-30,0.18545824580475934,0.14249187497133198,0.04296637083342736
36,2022-06-30,2025-06-30,0.24225215590028837,0.1955440252503151,0.046708130649973256
36,2022-07-29,2025-07-31,0.2210501625244119,0.16979419313280797,0.05125596939160393
36,2022-08-31,2025-08-29,0.2391144708332975,0.19420940658476016,0.04490506424853735
36,2022-09-30,2025-09-30,0.2944887405346268,0.24792893364599244,0.04655980688863437
36,2022-10-31,2025-10-31,0.20781349600120946,0.22542865313964322,-0.017615157138433757
36,2022-11-30,2025-11-28,0.19798709774739853,0.20430939464434572,-0.006322296896947188
36,2022-12-30,2025-12-31,0.21124124189470983,0.228700597134593,-0.01745935523988318
36,2023-01-31,2026-01-30,0.22965930146571512,0.20985947958091278,0.019799821884802338
36,2023-02-28,2026-02-27,0.25216598438526483,0.21664732885166393,0.035518655533600896
36,2023-03-31,2026-03-31,0.2715629017944501,0.18185271950477122,0.08971018228967886
36,2023-04-28,2026-04-30,0.2682879372530129,0.21543014246704884,0.052857794785964085
36,2023-05-31,2026-05-29,0.21952046828628058,0.23449106655373275,-0.014970598267452173
36,2023-06-30,2026-06-30,0.21220499585957864,0.20476105483392248,0.007443941025656153
36,2023-07-31,2026-07-31,0.2249266042893816,0.192033838365395,0.0328927659239866
36,2023-08-31,2026-08-20,0.22842309139547456,0.20683210100611538,0.021590990389359188
60,2018-01-31,2023-01-31,0.12703065368412747,0.09447966455564871,0.03255098912847876
60,2018-02-28,2023-02-28,0.12285602009496754,0.0970160732595764,0.025839946835391148
60,2018-03-29,2023-03-31,0.1201692520003752,0.11119262966042243,0.008976622339952778
60,2018-04-30,2023-04-28,0.12083754919521383,0.113571698486155,0.00726585070905883
60,2018-05-31,2023-05-31,0.12124357098872296,0.10925659820687228,0.01198697278185068
60,2018-06-29,2023-06-30,0.1439711621844708,0.12198619908833508,0.021984963096135735
60,2018-07-31,2023-07-31,0.14526836949391875,0.12105134229634928,0.024217027197569463
60,2018-08-31,2023-08-31,0.12479898547063417,0.110383757774005,0.014415227696629174
60,2018-09-28,2023-09-29,0.13028662593586282,0.09834092350290224,0.03194570243296058
60,2018-10-31,2023-10-31,0.1614198476608275,0.1093040590021801,0.05211578865864741
60,2018-11-30,2023-11-30,0.1643881383822563,0.12472546103852222,0.039662677343734076
60,2018-12-31,2023-12-29,0.1856351232594755,0.15592557566216048,0.029709547597315034
60,2019-01-31,2024-01-31,0.1897725428704966,0.14185850667833155,0.047914036192165055
60,2019-02-28,2024-02-29,0.19822214022289364,0.14619880035802124,0.0520233398648724
60,2019-03-29,2024-03-28,0.20471141625746592,0.1494677699072604,0.05524364635020551
60,2019-04-30,2024-04-30,0.17484969084998014,0.1309523206428702,0.04389737020710993
60,2019-05-31,2024-05-31,0.19661842279721786,0.15732058628020673,0.03929783651701113
60,2019-06-28,2024-06-28,0.18262434756736123,0.14979940011301585,0.03282494745434539
60,2019-07-31,2024-07-31,0.1794600179877306,0.1491167633337256,0.030343254654005003
60,2019-08-30,2024-08-30,0.1876099334515644,0.1583423535800026,0.02926757987156181
60,2019-09-30,2024-09-30,0.19518946354843103,0.1586936254687923,0.03649583807963874
60,2019-10-31,2024-10-31,0.20126368813493833,0.1515715993087372,0.04969208882620113
60,2019-11-29,2024-11-29,0.21566798915368968,0.15673412895937133,0.058933860194318344
60,2019-12-31,2024-12-31,0.2051929291855723,0.14453840967823495,0.06065451950733736
60,2020-01-31,2025-01-31,0.20765896530662653,0.15071408002198639,0.056944885284640145
60,2020-02-28,2025-02-28,0.22794178167505041,0.1668670834128987,0.06107469826215173
60,2020-03-31,2025-03-31,0.24813957786476126,0.18475140887994534,0.06338816898481592
60,2020-04-30,2025-04-30,0.21321305017193026,0.15474830371786696,0.0584647464540633
60,2020-05-29,2025-05-30,0.19978225235865388,0.1580798185213088,0.041702433837345065
60,2020-06-30,2025-06-30,0.21358488850077695,0.16563890118818958,0.04794598731258737
60,2020-07-31,2025-07-31,0.19401912643112929,0.15763463170659686,0.036384494724532424
60,2020-08-31,2025-08-29,0.193206008849512,0.1467678190708508,0.04643818977866121
60,2020-09-30,2025-09-30,0.21365801019287467,0.16367146923058118,0.04998654096229349
60,2020-10-30,2025-10-31,0.20676181514094139,0.17508622966838416,0.03167558547255722
60,2020-11-30,2025-11-28,0.20404270235777333,0.1515164250988026,0.052526277258970744
