date,next_date,strategy_return,gross_return,spy_return,turnover,cost,regime,holdings,strategy_equity,spy_equity
2018-01-31,2018-02-28,0.019709658465175115,0.020709658465175116,-0.036360180243769524,1.0,0.001,RISK_ON,10,1.019709658465175,0.9636398197562305
2018-02-28,2018-03-29,0.011480643490566909,0.012148048361504765,-0.027410934186590907,0.6674048709378563,0.0006674048709378563,RISK_ON,10,1.0314165815179015,0.9372255520773142
2018-03-29,2018-04-30,0.00179439974896543,0.0020392272027685656,0.005168547161035653,0.24482745380313564,0.0002448274538031357,RISK_ON,10,1.033267355172856,0.9420696465437535
2018-04-30,2018-05-31,0.0686520614078097,0.06936147064094313,0.024308943387404636,0.7094092331334251,0.000709409233133425,RISK_ON,10,1.104203289090868,0.9649703642485778
2018-05-31,2018-06-29,-0.0255698906521131,-0.025186319007035853,0.005750959009649392,0.38357164507724645,0.0003835716450772465,RISK_ON,10,1.0759689317311107,0.9705198692588979
2018-06-29,2018-07-31,0.023526367150963325,0.0240165463883612,0.03704655700845483,0.4901792373978752,0.0004901792373978752,RISK_ON,10,1.1012825718620467,1.0064742889232359
2018-07-31,2018-08-31,0.08882737216032756,0.08926209025860636,0.03191976441947486,0.4347180982788028,0.0004347180982788028,RISK_ON,10,1.1991066087265194,1.038600711119924
2018-08-31,2018-09-28,-0.03195196758715793,-0.03158875383007144,0.005945626787698055,0.36321375708649367,0.0003632137570864937,RISK_ON,10,1.1607927932309428,1.044775843329681
2018-09-28,2018-10-31,-0.1367042523941502,-0.1361974375609209,-0.06910429775144966,0.5068148332293152,0.0005068148332293153,RISK_ON,10,1.0021074822477893,0.9725773423687047
2018-10-31,2018-11-30,0.01819433581762003,0.018885826089203556,0.01854913587146778,0.6914902715835252,0.0006914902715835252,RISK_ON,10,1.0203401623051553,0.9906178116378129
2018-11-30,2018-12-31,-0.06300897406464552,-0.06258836101034713,-0.08804833334422535,0.42061305429838325,0.00042061305429838325,RISK_ON,10,0.9560495754813536,0.9033955643419997
2018-12-31,2019-01-31,0.05705929822483656,0.05755876368200316,0.08006570250934608,0.4994654571666001,0.0004994654571666001,RISK_ON,10,1.0106010933264726,0.9757265648448691
2019-01-31,2019-02-28,0.05906713493359815,0.059496102654932576,0.032415695564710356,0.4289677213344232,0.00042896772133442317,RISK_ON,10,1.070294404470029,1.007355420125281
2019-02-28,2019-03-29,0.0395894893517662,0.04024767949123958,0.018100624296855772,0.6581901394733799,0.0006581901394733799,RISK_ON,10,1.11266681339905,1.02558918211837
2019-03-29,2019-04-30,0.04964904959420985,0.05019089585086618,0.04085240591938666,0.541846256656334,0.000541846256656334,NEUTRAL,10,1.1679096631993309,1.0674869676928014
2019-04-30,2019-05-31,-0.05263854302411506,-0.05210630106279929,-0.06377102479049579,0.5322419613157738,0.0005322419613157739,RISK_ON,10,1.106432600144733,0.9994122298125325
2019-05-31,2019-06-28,0.0656198019431624,0.06623823544015524,0.06958638976627807,0.6184334969928384,0.0006184334969928384,NEUTRAL,10,1.1790364882296887,1.0689577187734525
2019-06-28,2019-07-31,0.017155743676274624,0.017925721577152675,0.015118924790325394,0.7699779008780505,0.0007699779008780506,NEUTRAL,10,1.1992637360067322,1.0851192101276261
2019-07-31,2019-08-30,0.01684924135851145,0.017572637758927083,-0.016743121637895153,0.7233964004156325,0.0007233964004156325,NEUTRAL,10,1.21947042014722,1.0669509272008426
2019-08-30,2019-09-30,-0.03064984380993902,-0.0301561278957953,0.019457842785318036,0.4937159141437226,0.0004937159141437227,NEUTRAL,10,1.182093842238867,1.0877114906019658
2019-09-30,2019-10-31,-0.014036952404727484,-0.013461129658323205,0.022104910520698073,0.5758227464042791,0.0005758227464042791,NEUTRAL,10,1.1655008472374386,1.1117552557740573
2019-10-31,2019-11-29,0.021485142339082965,0.022025420889470546,0.03619792813388423,0.5402785503875804,0.0005402785503875804,RISK_ON,10,1.1905417988366567,1.1519984926250346
