window_months,windows,outperformance_rate,median_compounded_excess,worst_compounded_excess,best_compounded_excess,worst_window_end
12,91,0.8681318681318682,0.11314277973644482,-0.12695093838973293,0.39883028386824093,2025-12-31
24,79,0.9873417721518988,0.29101318088882233,-0.05523820175515781,0.6228196203615639,2026-04-30
36,67,1.0,0.5322026151583787,0.19545782306383153,0.943673421525876,2026-06-30
60,43,1.0,1.351649654184444,0.7348972640577658,2.0503959708593946,2026-06-30
