omitted_year,strategy_cagr,spy_cagr,cagr_excess
2018,0.24421224186653734,0.12912464558800218,0.11508759627853515
2019,0.20554055920625092,0.09633102081660305,0.10920953838964786
2021,0.18775275694010096,0.09508859279406434,0.09266416414603662
2022,0.21906056092963078,0.14109906750391765,0.07796149342571312
2024,0.1660005999171006,0.08956190699193955,0.07643869292516103
2025,0.23689687930566472,0.09801494886032036,0.13888193044534436
