strategy,cost_bps_per_dollar_traded,cagr,max_drawdown,spy_cagr,cagr_excess_vs_spy,estimated_break_even_cost_bps_vs_spy_cagr
hyp_no_growth_low_vol_macro_sector_n10_score,0,0.2560480826765368,-0.19174529885721225,0.1396245388477111,0.11642354382882569,96.49650962592816
hyp_no_growth_low_vol_macro_sector_n10_score,5,0.24976036421830128,-0.19332168321873044,0.1396245388477111,0.11013582537059019,96.49650962592816
hyp_no_growth_low_vol_macro_sector_n10_score,10,0.24350119941493897,-0.1948958523529165,0.1396245388477111,0.10387666056722789,96.49650962592816
hyp_no_growth_low_vol_macro_sector_n10_score,15,0.2372704716270133,-0.1964678082751693,0.1396245388477111,0.09764593277930222,96.49650962592816
hyp_no_growth_low_vol_macro_sector_n10_score,20,0.2310680646392913,-0.1980375529999926,0.1396245388477111,0.09144352579158022,96.49650962592816
hyp_no_growth_low_vol_macro_sector_n10_score,25,0.22489386265939193,-0.19960508854099346,0.1396245388477111,0.08526932381168084,96.49650962592816
hyp_no_growth_low_vol_macro_sector_n10_score,50,0.1944419045732737,-0.2074096989021803,0.1396245388477111,0.05481736572556262,96.49650962592816
hyp_no_growth_low_vol_macro_sector_n10_equal,0,0.2552412172814835,-0.19118556039408308,0.1396245388477111,0.11561667843377244,94.3244331228189
hyp_no_growth_low_vol_macro_sector_n10_equal,5,0.24885525817136456,-0.1927822109532309,0.1396245388477111,0.10923071932365347,94.3244331228189
hyp_no_growth_low_vol_macro_sector_n10_equal,10,0.24249878140152736,-0.19437659292726672,0.1396245388477111,0.10287424255381628,94.3244331228189
hyp_no_growth_low_vol_macro_sector_n10_equal,15,0.23617166449153038,-0.19596870840099145,0.1396245388477111,0.09654712564381929,94.3244331228189
hyp_no_growth_low_vol_macro_sector_n10_equal,20,0.22987378541411574,-0.19755855945826972,0.1396245388477111,0.09024924656640465,94.3244331228189
hyp_no_growth_low_vol_macro_sector_n10_equal,25,0.2236050225937345,-0.1991461481820309,0.1396245388477111,0.0839804837460234,94.3244331228189
hyp_no_growth_low_vol_macro_sector_n10_equal,50,0.1926937286378465,-0.20705022963513087,0.1396245388477111,0.05306918979013542,94.3244331228189
