candidate_count,common_months,blocks,splits,pbo,median_oos_relative_rank,median_logit,interpretation
20,102,6,20,0.15,0.825,1.5505974124111666,PBO is the fraction of CSCV splits where the in-sample winner ranks at/below the OOS median; lower is better.
20,102,8,70,0.04285714285714286,0.875,1.9459101490553132,PBO is the fraction of CSCV splits where the in-sample winner ranks at/below the OOS median; lower is better.
20,102,10,252,0.10317460317460317,0.825,1.5505974124111666,PBO is the fraction of CSCV splits where the in-sample winner ranks at/below the OOS median; lower is better.
