total_return,cagr,annual_volatility,sharpe_0rf,sortino_0rf,max_drawdown,calmar,positive_month_rate,months,strategy,regime
0.34275269116229223,0.20459095775463942,0.18571191823475536,1.0941728960952175,3.407401056024007,-0.08167106444159955,2.505060502804345,0.631578947368421,19,dynamic_no_macro_sector_n10,HIGH_REAL_RATES
0.23141075622891805,0.21185000858007097,0.2439063102700652,0.9077989479871286,1.21919635868349,-0.2101093365477663,1.0082846010601196,0.6153846153846154,13,dynamic_no_macro_sector_n10,NEUTRAL
0.7164091275776365,0.3828417696594988,0.11757177272508344,2.849411699141584,6.814865644785751,-0.045651645080881376,8.386154956326656,0.75,20,dynamic_no_macro_sector_n10,RECESSION
-0.022908854592668337,-0.00814617048261046,0.20142879281265252,0.05913865538522377,0.08569194341901115,-0.22952873417339203,-0.03549085264617296,0.6176470588235294,34,dynamic_no_macro_sector_n10,RISK_ON
0.31898630536556305,0.2307793890157328,0.14064070479436844,1.5542002953820426,2.8908555267760523,-0.0651445425646544,3.5425744034765425,0.625,16,dynamic_no_macro_sector_n10,STAGFLATION
0.36325073712878786,0.2161725728283399,0.16854744696947452,1.2469980306131265,2.8401741710313586,-0.08158535751485152,2.6496491455465963,0.631578947368421,19,full_dynamic_n10_equal,HIGH_REAL_RATES
0.24722386798801166,0.22620779842385086,0.2487384810417095,0.942854419539024,1.3489102735577398,-0.21063145313899845,1.0739507089407647,0.5384615384615384,13,full_dynamic_n10_equal,NEUTRAL
0.46096491237660886,0.2554050503402505,0.10478470196537082,2.240226902234781,6.036192521337077,-0.036419013533767974,7.012959044138774,0.7,20,full_dynamic_n10_equal,RECESSION
0.0637617943029194,0.02205552434165048,0.22974248979491171,0.2095789041675905,0.3442526318558674,-0.19626795278291276,0.11237455748084131,0.6764705882352942,34,full_dynamic_n10_equal,RISK_ON
0.2557122502829412,0.18622643577759845,0.1793243613631026,1.0414371898086718,2.359062894156345,-0.08109511904817668,2.296395121720775,0.5625,16,full_dynamic_n10_equal,STAGFLATION
0.3553185182650658,0.21169844606589838,0.16957417946745817,1.217805320818813,3.8909102345408524,-0.07042827129901497,3.0058730984194875,0.6842105263157895,19,full_dynamic_n10_invvol,HIGH_REAL_RATES
0.23371565557559748,0.21394366079434302,0.24368881242435328,0.9156289770519647,1.2297671013820648,-0.2099926722236991,1.0188148878187284,0.6153846153846154,13,full_dynamic_n10_invvol,NEUTRAL
0.42753252459368185,0.23808826473820743,0.10084588934827537,2.1838545648172163,6.703700338166543,-0.04067123855299648,5.853971337213337,0.7,20,full_dynamic_n10_invvol,RECESSION
0.05713150070542672,0.019802618325785337,0.21075986356676654,0.19758315439038554,0.3558679078590776,-0.18968244859287697,0.10439879109895132,0.6764705882352942,34,full_dynamic_n10_invvol,RISK_ON
0.2754736687373367,0.20020000157273765,0.1634954284384582,1.1998809480279247,2.480004606628761,-0.062438083221651786,3.2063764811939945,0.625,16,full_dynamic_n10_invvol,STAGFLATION
0.3568360188534254,0.21255512907496765,0.16948949628609253,1.2229638048442617,2.8389867688141135,-0.08384957943992644,2.5349576049722655,0.631578947368421,19,full_dynamic_n10_score,HIGH_REAL_RATES
0.2528131788011303,0.23127935264541577,0.24948620760424,0.9575537591114193,1.3693258967401463,-0.20971687131220595,1.102817103832861,0.5384615384615384,13,full_dynamic_n10_score,NEUTRAL
0.4596190535584408,0.25471102571065085,0.10431699760615477,2.2444567436748284,6.055875337355966,-0.03684393053254453,6.9132424806214035,0.7,20,full_dynamic_n10_score,RECESSION
0.06349197786453642,0.021964021100372655,0.23011204865519863,0.20918759450925828,0.3428820253037071,-0.19535422991695206,0.11243176618038873,0.6764705882352942,34,full_dynamic_n10_score,RISK_ON
0.25468059486907646,0.18549543471947727,0.179854033982979,1.0353724658081702,2.333032350746845,-0.08370192713026003,2.216142938152456,0.5625,16,full_dynamic_n10_score,STAGFLATION
0.2648848491262019,0.15998736088479948,0.15151160762964666,1.0544996710129477,3.0648599789637934,-0.07906453874978414,2.02350337350493,0.6842105263157895,19,full_dynamic_n20_invvol,HIGH_REAL_RATES
0.18373888055841392,0.16847881347916527,0.23759864255046267,0.7700827433029219,1.066680831423484,-0.19652939605533204,0.8572702957461424,0.5384615384615384,13,full_dynamic_n20_invvol,NEUTRAL
0.5374988382418016,0.2944607239647954,0.10902729409558522,2.443844840098272,7.801819370736211,-0.041362414243636736,7.1190410267238144,0.7,20,full_dynamic_n20_invvol,RECESSION
-0.03463839097034371,-0.012364984603468465,0.19563557242007687,0.033181265522593456,0.04496581366242573,-0.1788339907653368,-0.06914225058978642,0.5588235294117647,34,full_dynamic_n20_invvol,RISK_ON
