strategy,months,max_drawdown,drawdown_peak_signal_date,drawdown_trough_signal_date,recovery_signal_date,peak_to_trough_months,longest_underwater_months,worst_month,worst_month_spy,worst_12m_excess,best_12m_excess,return_corr_max_sector_weight,return_corr_max_stock_weight,return_corr_traded_notional
hyp_no_growth_low_vol_macro_sector_n10_score,102,-0.1948958523529164,2018-07-31,2018-11-30,2019-03-29,4,7,-0.1371857437037341,-0.0890799133124042,-0.0868911524710434,0.3826533011204251,-0.15982477906729456,0.23574937381005892,0.03693207725637902
hyp_static_neutral_no_growth_low_vol_n10,102,-0.19610822460145005,2021-11-30,2022-05-31,2022-10-31,6,11,-0.1433409723933299,-0.0890799133124042,-0.17037383541742473,0.26087901036673294,-0.025248537860291752,-0.17190962829051795,0.14641633346822544
full_dynamic_n10_score,102,-0.2124181165065565,2018-07-31,2020-02-28,2020-06-30,19,22,-0.1461881004837395,-0.0702131125440091,-0.14191536099718519,0.21943922823028195,-0.14342156761434227,0.15516684853860438,0.13168265142354624
