total_return,cagr,annual_volatility,sharpe_0rf,sortino_0rf,max_drawdown,calmar,positive_month_rate,months,portfolio,avg_monthly_turnover_half_l1,avg_monthly_traded_notional,annualized_excess_return_arith_vs_spy,information_ratio_vs_spy,active_t_stat_iid,avg_max_stock_weight,peak_max_stock_weight,avg_top3_stock_weight,avg_effective_stock_count,avg_max_sector_weight,peak_max_sector_weight,avg_effective_sector_count,avg_valid_weight_fraction,delta_cagr_vs_base,delta_sharpe_vs_base,delta_max_drawdown_vs_base
3.341393402693253,0.18854380621280775,0.208297282319597,0.938553965528338,1.4209805871693173,-0.22824397006138342,0.8260625950473136,0.6568627450980392,102,no_low_vol_n10,0.46499996162405405,0.9201960016794807,0.049221538976246336,0.34526913045366764,1.0066238452252012,0.15285635466599967,0.2072115887035205,0.40356406756393853,9.213375252766017,0.4355560225769148,0.8624459801718414,3.4302201794222555,1.0,0.04112304793421395,0.08828948413784432,0.008668418594550364
2.9961380934020045,0.1770129301406973,0.17801779626520367,1.0093477392461603,1.5947595594161774,-0.1545950134792774,1.1450106064671024,0.6176470588235294,102,no_growth_n10,0.5244040993934126,1.0390042772181978,0.03340515885227973,0.23631772229593448,0.6889786353035023,0.14361945304891385,0.19248345839128814,0.3923281407126379,9.331276246597929,0.4426678902210502,0.9061216567854493,3.31781912704348,1.0,0.0295921718621035,0.15908325785566657,0.08231737517665638
2.6575911146157645,0.16481848324914772,0.18230903702343412,0.9325801903941676,1.3789732861848312,-0.22952873417339237,0.7180734204922651,0.6470588235294118,102,dynamic_no_macro_sector_n10,0.5132348580207119,1.0166657944727964,0.02374109510430432,0.19757962032533577,0.5760386307594159,0.14625705705980116,0.20381901954533538,0.39678319107545607,9.283348840623338,0.4276639960105508,0.6387947215810115,3.4701398887763015,1.0,0.01739772497055392,0.08231570900367391,0.007383654482541413
2.4833131111953732,0.15814736985532174,0.18298152464486225,0.8978741736429924,1.3910290345400609,-0.21682202591334154,0.7293879355159673,0.5882352941176471,102,static_neutral_n10_invvol,0.4900115773829222,0.970219233197217,0.01801768387885329,0.14559996663152677,0.4244932006597567,0.14822246647341367,0.20381901954533538,0.4013304680748943,9.239839678335851,0.4543715379257951,0.8544427151153007,3.227326766842945,1.0,0.01072661157672794,0.04760969225249867,0.020090362742592238
2.318138117752259,0.15154708719885912,0.19248968728257718,0.8333619790751156,1.176018848263947,-0.21349640520715707,0.7098343742687935,0.6372549019607843,102,full_dynamic_n10_equal,0.49320910108739335,0.9766142806061593,0.014136885391771402,0.10329773967875112,0.30116207545652524,0.09999999999999998,0.1,0.3,9.999999999999998,0.43137254901960775,0.8,3.4832659855345196,1.0,0.004126328920265321,-0.016902502315378154,0.02341598344877671
2.3107058829542595,0.15124333649626998,0.19292398949991693,0.830498935353075,1.1738165138147951,-0.21315854802513812,0.7095344657650493,0.6372549019607843,102,full_dynamic_n10_score,0.48805903191716116,0.9663141422656949,0.013946466530161614,0.10151644616803988,0.29596875707074655,0.10632001275860734,0.11279285238862047,0.31179362746373945,9.989451909486675,0.43283831707034937,0.8072210189853658,3.473101032978915,1.0,0.0038225782176761758,-0.019765546037418757,0.023753840630795664
2.1154911207361424,0.14304135476536395,0.18043413888547774,0.8350261574987643,1.1676697062786505,-0.21223535642014268,0.6739751433413301,0.6372549019607843,102,full_dynamic_strict_12_30,0.5222674815760332,1.034731041583439,0.004390524321551622,0.03586023272141862,0.10454964596827468,0.11966720004907005,0.12,0.355102706984524,9.68424505312828,0.2937665381382684,0.30000000000000004,4.436772807156845,1.0,-0.0043794035132298514,-0.01523832389172941,0.024677032235791097
1.9496162296861281,0.1357075975211519,0.18444432937583397,0.7859788994332945,1.0630833667173563,-0.2997750752583156,0.45269806839081916,0.6274509803921569,102,no_sector_rotation_n10,0.44024645082425484,0.8706889800798823,-0.001307350344057186,-0.010951894912499118,-0.03192998619609167,0.14484184397759256,0.21761450017949868,0.39364457487138416,9.320944715598289,0.3411514328461901,0.7018028948196954,4.478884040692343,1.0,-0.011713160757441887,-0.06428558195719924,-0.06286268660238181
1.8893815777103011,0.1329541670628429,0.17107566126717086,0.8186216809643642,1.155682213700902,-0.2005982061396766,0.6627884148189584,0.6372549019607843,102,full_dynamic_n20_invvol,0.460886278293257,0.9119686350178865,-0.006230455954965633,-0.055047434912006823,-0.16048947245326978,0.07738066402962944,0.10189291570702308,0.21480783275957896,18.59790207450515,0.36565566023711304,0.7091759745601955,4.246819061653829,1.0,-0.01446659121575089,-0.03164280042612955,0.036314182516257176
1.7236302483506467,0.12510718948165445,0.18320613219030268,0.7380375912606263,1.0424755104657164,-0.22984812853847303,0.5443037116602558,0.6078431372549019,102,no_momentum_n10,0.5370995130790249,1.0643951045894224,-0.011063688847680291,-0.08175630087298769,-0.23835852874544497,0.14314276575537774,0.1856114736677347,0.3922547408960898,9.357589229347576,0.46918282610925227,0.9163733761700372,3.162519061343768,1.0,-0.022313568796939354,-0.11222689012986742,0.007064260117460752
