window_months,windows,pct_windows_outperformed_spy,min_excess_cagr,median_excess_cagr,max_excess_cagr,strategy
36,67,0.6417910447761194,-0.09087383837140406,0.030560732163428694,0.10761470040995746,full_dynamic_n10_invvol
60,43,0.9069767441860465,-0.013632880308472206,0.03021336146697373,0.0787340660858622,full_dynamic_n10_invvol
36,67,0.6567164179104478,-0.061422499087125715,0.028450722111997173,0.10469182340478356,full_dynamic_n10_equal
60,43,0.9534883720930233,-0.004263041170265325,0.027076577279171454,0.0765291308188405,full_dynamic_n10_equal
36,67,0.6567164179104478,-0.06091884695303085,0.026978150794523037,0.10427925099664903,full_dynamic_n10_score
60,43,0.9534883720930233,-0.004428116391701042,0.026782543658214752,0.07650551681454543,full_dynamic_n10_score
36,67,0.11940298507462686,-0.09825814911278985,-0.02863273358525653,0.05218434590976839,full_dynamic_n5_invvol
60,43,0.06976744186046512,-0.063351849614802,-0.02565492060607144,0.022938637466635603,full_dynamic_n5_invvol
36,67,0.5373134328358209,-0.060240717830909896,0.005183578683120693,0.07196364632497554,full_dynamic_n20_invvol
60,43,0.5116279069767442,-0.019058972065724156,0.0004498181862711004,0.03557050520429139,full_dynamic_n20_invvol
36,67,0.5223880597014925,-0.0617221592018502,0.0031566333013837156,0.07179472328833159,full_dynamic_strict_12_30
60,43,0.6046511627906976,-0.019413590702222816,0.0036709878649083816,0.0487486032596085,full_dynamic_strict_12_30
36,67,0.8208955223880597,-0.08541388601636046,0.06644442557111785,0.16580907700921377,static_neutral_n10_invvol
60,43,0.9767441860465116,-0.004166825267539753,0.06597249805917205,0.11904559235268009,static_neutral_n10_invvol
36,67,0.746268656716418,-0.0614950787873596,0.06385681701344992,0.12856390989100586,dynamic_no_macro_sector_n10
60,43,0.9767441860465116,-0.0010663729247684106,0.046741029781997234,0.09163733606909408,dynamic_no_macro_sector_n10
36,67,0.417910447761194,-0.10897014574284936,-0.021455039912206653,0.0710335676004401,no_sector_rotation_n10
60,43,0.23255813953488372,-0.052481757570437715,-0.017038236256258,0.03794939000927133,no_sector_rotation_n10
36,67,0.5671641791044776,-0.10318582316242209,0.01391829036460468,0.07882932646506746,no_momentum_n10
60,43,0.627906976744186,-0.029637399312857804,0.008321817590715819,0.052327241767963883,no_momentum_n10
36,67,0.5373134328358209,-0.11782578567707103,0.013410207442192235,0.06800633546932366,no_quality_n10
60,43,0.5116279069767442,-0.055447494434684774,0.006679798445305307,0.06223366347933479,no_quality_n10
36,67,0.014925373134328358,-0.181576867191656,-0.07107951682858982,0.00787098198774916,no_value_n10
60,43,0.0,-0.11224388118130246,-0.07159480742705915,-0.021899225857738402,no_value_n10
36,67,0.7611940298507462,-0.04063505470217477,0.08009013770554918,0.16351978403115286,no_growth_n10
60,43,1.0,0.04439422188691067,0.07263459760881519,0.11388770283559646,no_growth_n10
36,67,0.8955223880597015,-0.02706115396225739,0.070544071344808,0.15829271303781778,no_low_vol_n10
60,43,1.0,0.008223165005841304,0.0741633344178374,0.11084409351232716,no_low_vol_n10
