strategy,signal_date,execution_date,exit_execution_date,regime,gross_return,net_return,turnover_half_l1,traded_notional,cost,valid_weight_fraction,names
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2018-01-31,2018-02-01,2018-03-01,RISK_ON,0.018528824646620336,0.017528824646620336,1.0,1.0,0.001,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2018-02-28,2018-03-01,2018-04-02,RISK_ON,-0.004657605835735979,-0.005274642827461989,0.3085184958630048,0.6170369917260096,0.0006170369917260095,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2018-03-29,2018-04-02,2018-05-01,RISK_ON,-0.003939093599160383,-0.0045826275584420605,0.3217669796408385,0.643533959281677,0.000643533959281677,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2018-04-30,2018-05-01,2018-06-01,RISK_ON,0.09986837301037792,0.09904311419240344,0.4126294089872361,0.8252588179744722,0.0008252588179744723,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2018-05-31,2018-06-01,2018-07-02,RISK_ON,-0.05769534057479057,-0.058147392796483545,0.22602611084648733,0.45205222169297465,0.0004520522216929747,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2018-06-29,2018-07-02,2018-08-01,RISK_ON,0.03298015423436706,0.032552768371248784,0.21369293155913616,0.4273858631182723,0.00042738586311827234,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2018-07-31,2018-08-01,2018-09-04,RISK_ON,0.051865996106423465,0.05085358434790379,0.5062058792598366,1.0124117585196732,0.0010124117585196732,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2018-08-31,2018-09-04,2018-10-01,RISK_ON,-0.012700744559632427,-0.013700744559632428,0.5,1.0,0.001,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2018-09-28,2018-10-01,2018-11-01,RISK_ON,-0.09524601056641611,-0.09585969259658977,0.30684101508683304,0.6136820301736661,0.0006136820301736661,1.0,10
hyp_static_neutral_no_growth_low_vol_n10_equal_reconstructed,2018-10-31,2018-11-01,2018-12-03,RISK_ON,0.01926215243014127,0.01785061126955148,0.7057705802948959,1.4115411605897918,0.0014115411605897918,1.0,10
