strategy,months,correlation_with_spy,beta_to_spy,down_months,down_month_avg_strategy,down_month_avg_spy,down_month_avg_excess,down_month_outperform_rate,down_month_beta,up_months,up_month_avg_strategy,up_month_avg_spy,up_month_avg_excess,up_month_outperform_rate,worst_spy_quintile_months,worst_spy_quintile_avg_strategy,worst_spy_quintile_avg_spy,worst_spy_quintile_avg_excess
hyp_no_growth_low_vol_macro_sector_n10_score,102,0.7090132998101856,0.9124711289229603,33,-0.034397159140845734,-0.043464710066028936,0.009067550925183214,0.5151515151515151,0.9486834856279134,69,0.046525586875997706,0.03880706152301518,0.007718525352982528,0.5652173913043478,21,-0.054916944026272244,-0.06159539809149595,0.00667845406522372
hyp_static_neutral_no_growth_low_vol_n10,102,0.709753852502917,0.8716316345827475,33,-0.035246453028859405,-0.043464710066028936,0.008218257037169552,0.5151515151515151,0.8702253837769899,69,0.0421430188344437,0.03880706152301518,0.00333595731142852,0.4782608695652174,21,-0.05394988304916745,-0.06159539809149595,0.0076455150423285
full_dynamic_n10_score,102,0.7224637287905831,0.8183652555927592,33,-0.031843074449456124,-0.043464710066028936,0.011621635616572819,0.6666666666666666,1.1015096125918376,69,0.03534185610628632,0.03880706152301518,-0.003465205416728863,0.4492753623188406,21,-0.05412713382472534,-0.06159539809149595,0.007468264266770616
