year,months,strategy_cagr,spy_cagr,cagr_excess
2018,12,0.010237278747910583,-0.020595006944096994,0.030832285692007577
2019,11,0.24717404642386653,0.19794874760914838,0.049225298814718155
2020,9,0.2631608755899697,0.04806982466527643,0.21509105092469327
2021,11,0.3895628227075374,0.20786855466301768,0.1816942680445197
2022,12,0.15561246354735148,-0.08630549705859003,0.2419179606059415
2023,6,0.12100717555315699,0.10562151267026443,0.015385662882892559
2024,12,0.5489773133101989,0.23861971313251185,0.3103576001776871
2025,12,0.05022693132123157,0.17717782229309642,-0.12695089097186485
2026,6,0.15227725243102963,0.19373535126582908,-0.04145809883479945
