year,holding_observations,it_holding_observations,it_holding_share,gross_contribution_all,gross_contribution_it,it_fraction_of_positive_gross_contribution,months,base_compounded_return,no_it_compounded_return,spy_compounded_return,no_it_minus_spy,base_minus_no_it
2018,120,27,0.225,0.040616293332304994,-0.026631809575669935,0.19508245479333688,12,0.010237490532785776,0.07938515539597124,-0.020595064591536705,0.09998021998750795,-0.06914766486318547
2019,120,44,0.36666666666666664,0.2780698492187128,0.10346830975744283,0.4415800519220745,12,0.28517521025294235,0.19687986233363053,0.21959242747337315,-0.022712565139742624,0.08829534791931182
2020,120,60,0.5,0.32327435771270385,0.21808883565163573,0.6216969433589713,12,0.32489741473829836,0.03211978445982244,0.1773591941171191,-0.14523940965729665,0.2927776302784759
2021,120,41,0.3416666666666667,0.3770495572725479,0.12768306622051298,0.42522566959933406,12,0.39372608244990026,0.33501113754083334,0.22200468611388913,0.11300645142694421,0.058714944909066924
2022,120,5,0.041666666666666664,0.19293825560542635,-0.02317905756383361,0.0,12,0.1556123638318545,0.19680559783974827,-0.0863054859359006,0.28311108377564886,-0.041193234007893764
2023,120,49,0.4083333333333333,0.2284674772541705,0.22734717410805014,0.5867995063278363,12,0.21844265669514895,0.011605491624892439,0.2141747295219354,-0.20256923789704295,0.2068371650702565
2024,120,32,0.26666666666666666,0.49246181313873894,0.12850187284762404,0.3077869754737321,12,0.5489773244179754,0.516186930070583,0.2386198417666019,0.27756708830398114,0.03279039434739239
2025,120,31,0.25833333333333336,0.07924373468644598,0.10498990947732355,0.39735531790248974,12,0.05022692535160633,-0.1335707513543174,0.17717759617163642,-0.3107483475259538,0.18379767670592373
2026,60,7,0.11666666666666667,0.08822761649596508,0.019620031107293715,0.25740539058627504,6,0.07344178542083313,0.034028841394729836,0.09258206187195595,-0.05855322047722611,0.03941294402610329
