regime,months,avg_monthly_return,avg_monthly_spy,avg_monthly_active,annualized_active_mean
HIGH_REAL_RATES,19,0.01384773601009211,0.0142622070770872,-0.0004144710669950896,-0.0049736528039410755
NEUTRAL,13,0.034205795084247884,0.01617665601657787,0.018029139067670015,0.21634966881204018
RECESSION,20,0.03847839645631641,0.02567830505593885,0.01280009140037756,0.1536010968045307
RISK_ON,34,0.005941217411695878,-0.0017035303101882178,0.007644747721884095,0.09173697266260915
STAGFLATION,16,0.020755649607284692,0.019151704978534086,0.001603944628750605,0.01924733554500726
