total_return,cagr,annual_volatility,sharpe_0rf,sortino_0rf,max_drawdown,calmar,positive_month_rate,months,portfolio,avg_monthly_turnover_half_l1,avg_monthly_traded_notional,annualized_excess_return_arith_vs_spy,information_ratio_vs_spy,active_t_stat_iid,avg_max_stock_weight,peak_max_stock_weight,avg_top3_stock_weight,avg_effective_stock_count,avg_max_sector_weight,peak_max_sector_weight,avg_effective_sector_count,avg_valid_weight_fraction
4.642435311703824,0.22576674270588493,0.2038552964968946,1.1075562524021618,1.752645135514339,-0.19468931241719567,1.159625764264317,0.6372549019607843,102,hyp_no_growth_low_vol_macro_sector_n10,0.47797272623051323,0.946141530892399,0.07950448783407597,0.5489934794135176,1.6005772845219826,0.15290642437350044,0.21205013485515672,0.40558286927509163,9.192385898459097,0.42605843768253654,0.7543049549937638,3.4053970399826183,1.0
3.6898453217615783,0.19938834916758763,0.2117102561204988,0.9695464629254461,1.6073013723711462,-0.19610814527685905,1.0167265050928798,0.6274509803921569,102,hyp_static_neutral_no_growth_low_vol_n10,0.47566781661094926,0.9415317116532711,0.05898620960031377,0.39122746910671,1.1406142761516511,0.15306618901969068,0.20090477882196373,0.40709541125306925,9.183432034299033,0.471619263828045,0.9172559705490085,3.066495465338562,1.0
3.6717384510214526,0.198842633162853,0.20870116595477767,0.9792941729001369,1.4301623493465005,-0.19352100734079047,1.0274989568067467,0.6764705882352942,102,hyp_no_growth_low_vol_n10,0.48074079515361645,0.9516776687386054,0.05810311531062204,0.3835599886381432,1.1182599212682116,0.1539530187095806,0.2274534008657788,0.40431362085181205,9.193217715730295,0.46145126519554847,0.8661384633668445,3.2234121070957236,1.0
3.2973001609529575,0.18711723574225037,0.20879144433620175,0.9311492163570636,1.387193850126463,-0.2282514461243771,0.8197855431780608,0.6666666666666666,102,no_low_vol_n10,0.4670680713735259,0.9243322211784243,0.048139269389357545,0.33769102794520034,0.9845300696346618,0.15267883137575924,0.20721005547503762,0.403328770108977,9.212965358613008,0.43383017115954725,0.8624494443205268,3.427481991874099,1.0
3.012332972709916,0.17757310592014108,0.1796667696726603,1.004423970588411,1.5866465472193605,-0.1710909431362565,1.0378872350871442,0.6372549019607843,102,no_growth_n10,0.5244600513591707,1.039116181149714,0.03418488979105075,0.2408854271530442,0.7022956689493314,0.1434418840211731,0.1924707165971654,0.39228707964540926,9.3334161103509,0.44009037743786467,0.9061320589563425,3.336237207946458,1.0
2.80805107554708,0.17035596327314662,0.18421802811440646,0.9509730009357732,1.3862843151724045,-0.2359319490876528,0.7220555076661382,0.6568627450980392,102,dynamic_no_macro_sector_n10,0.5146027240473005,1.0194015265259735,0.02890965063607158,0.23824580081205946,0.694599901842007,0.14600804633993905,0.20382974364245826,0.39635954912675053,9.287289437880666,0.42476129631953013,0.6397046671695117,3.4889033465702446,1.0
2.5465567417476973,0.16060160331058282,0.18641832077813292,0.8962071237735455,1.3829020819953899,-0.21507245050331414,0.746732568186868,0.5882352941176471,102,static_neutral_n10_invvol,0.48909724345827005,0.9683905653479127,0.020792706696908473,0.16561243025483033,0.482839057002169,0.14813587471154185,0.20382974364245826,0.40164216003939135,9.23806131022002,0.4514000489506904,0.854439021272983,3.243454753388374,1.0
2.393927931648697,0.15461076385090622,0.194934465528121,0.8392906855180802,1.150221187232795,-0.21642313676555647,0.7143911051358183,0.6470588235294118,102,full_dynamic_n10_equal,0.4988693499714289,0.9879347783742303,0.01732996081784103,0.12544547252899368,0.3657332578713499,0.09999999999999998,0.1,0.3,9.999999999999998,0.43137254901960775,0.8,3.5013149515324025,1.0
2.382580075961203,0.1541559126262586,0.1952752822209579,0.8360834484527232,1.148904866457804,-0.21241699585364793,0.7257230618799905,0.6470588235294118,102,full_dynamic_n10_score,0.4934437282049641,0.9770835348413008,0.016989710970521064,0.12258233903953769,0.35738586104858067,0.1062963608675697,0.11279626532638742,0.3117167379003842,9.989523268762431,0.43289942678522664,0.8072287843730132,3.4896199956435168,1.0
2.306425505934379,0.1510681270666927,0.18449933776608657,0.8587644029496581,1.2290962980893856,-0.25271117101949636,0.5977896681703793,0.6764705882352942,102,full_dynamic_n10_invvol,0.5246743511347286,1.0395447807008298,0.012164743254944398,0.09070106094885275,0.264436761602096,0.146533691715865,0.20380875910999108,0.39506647521233895,9.32502649728436,0.43639406079368276,0.8169943839070094,3.4590634736284596,1.0
