regime,months,dynamic_avg_monthly_return,static_avg_monthly_return,dynamic_minus_static_annualized_mean,dynamic_win_rate
HIGH_REAL_RATES,19,0.015142506324485947,0.013847735780670717,0.015537246525782786,0.5789473684210527
NEUTRAL,13,0.03419030322331111,0.03420580251099299,-0.00018599145218262808,0.38461538461538464
RECESSION,20,0.03623164460628213,0.03847838415315756,-0.026960874562505042,0.5
RISK_ON,34,0.0068631131862291,0.005941210194559708,0.011062835900032712,0.4411764705882353
STAGFLATION,16,0.023521233487623774,0.02075564339431331,0.033187081119725625,0.625
