strategy,regime,months,avg_monthly_strategy_return,avg_monthly_spy_return,annualized_arithmetic_excess_vs_spy,outperform_rate_vs_spy,positive_month_rate
hyp_no_growth_low_vol_macro_sector_n10_score,HIGH_REAL_RATES,19,0.015192541068395328,0.0142622070770872,0.011164007895697527,0.47368421052631576,0.47368421052631576
hyp_no_growth_low_vol_macro_sector_n10_score,NEUTRAL,13,0.03444816669790073,0.01617665601657787,0.21925812817587445,0.6153846153846154,0.7692307692307693
hyp_no_growth_low_vol_macro_sector_n10_score,RECESSION,20,0.036422055536139405,0.025678305055938842,0.1289250057624067,0.7,0.8
hyp_no_growth_low_vol_macro_sector_n10_score,RISK_ON,34,0.006961286062112715,-0.0017035303101882167,0.10397779646761121,0.5294117647058824,0.6176470588235294
hyp_no_growth_low_vol_macro_sector_n10_score,STAGFLATION,16,0.023346872411818202,0.019151704978534086,0.05034200919940938,0.4375,0.5625
hyp_static_neutral_no_growth_low_vol_n10,HIGH_REAL_RATES,19,0.01279070121585668,0.0142622070770872,-0.017658070334766185,0.42105263157894735,0.5263157894736842
hyp_static_neutral_no_growth_low_vol_n10,NEUTRAL,13,0.0330021888713409,0.01617665601657787,0.20190639425715642,0.5384615384615384,0.7692307692307693
hyp_static_neutral_no_growth_low_vol_n10,RECESSION,20,0.03397534908638224,0.025678305055938842,0.09956452836532069,0.5,0.7
hyp_static_neutral_no_growth_low_vol_n10,RISK_ON,34,0.0033536451498926228,-0.0017035303101882167,0.06068610552097008,0.5588235294117647,0.6176470588235294
hyp_static_neutral_no_growth_low_vol_n10,STAGFLATION,16,0.017447040898222035,0.019151704978534086,-0.020455968963744603,0.375,0.5625
full_dynamic_n10_score,HIGH_REAL_RATES,19,0.01765123727138868,0.0142622070770872,0.04066836233161773,0.5789473684210527,0.631578947368421
full_dynamic_n10_score,NEUTRAL,13,0.020923020808607976,0.01617665601657787,0.05695637750436131,0.5384615384615384,0.5384615384615384
full_dynamic_n10_score,RECESSION,20,0.019503244638550094,0.025678305055938842,-0.07410072500866505,0.45,0.7
full_dynamic_n10_score,RISK_ON,34,0.004379228029079105,-0.0017035303101882167,0.07299310007120788,0.5882352941176471,0.7058823529411765
full_dynamic_n10_score,STAGFLATION,16,0.015089699379607718,0.019151704978534086,-0.04874406718711643,0.375,0.5625
