split,is_blocks,is_winner,is_winner_sharpe_monthly,oos_winner_sharpe_monthly,oos_relative_rank,logit,overfit_event
1,0;1;2;3,hyp_no_growth_low_vol_macro_sector_n10_score,0.2758430122537033,0.11600289407673181,0.925,2.5123056239761152,False
2,0;1;2;4,hyp_no_growth_low_vol_macro_sector_n10_score,0.15306197817471412,0.2025600936061442,0.875,1.9459101490553132,False
3,0;1;2;5,hyp_no_growth_low_vol_macro_sector_n10_equal,0.19869763014400088,0.17340447063469105,0.825,1.5505974124111666,False
4,0;1;2;6,hyp_no_growth_low_vol_macro_sector_n10_score,0.23240789920104304,0.15379775942432156,0.825,1.5505974124111666,False
5,0;1;2;7,hyp_no_growth_low_vol_macro_sector_n10_score,0.09349198195639126,0.27658384042856765,0.975,3.6635616461296454,False
6,0;1;3;4,hyp_no_growth_low_vol_macro_sector_n10_score,0.2259094546463845,0.13971412296650845,0.975,3.6635616461296454,False
7,0;1;3;5,hyp_no_growth_low_vol_macro_sector_n10_equal,0.2795314403227378,0.11198140906897298,0.925,2.5123056239761152,False
8,0;1;3;6,hyp_no_growth_low_vol_macro_sector_n10_score,0.31077162476975706,0.09454716544546345,0.975,3.6635616461296454,False
9,0;1;3;7,hyp_no_growth_low_vol_macro_sector_n10,0.16117748596565626,0.1569278878260863,0.875,1.9459101490553132,False
10,0;1;4;5,hyp_no_growth_low_vol_macro_sector_n10_equal,0.15362677458074844,0.20061467181807438,0.875,1.9459101490553132,False
11,0;1;4;6,hyp_no_growth_low_vol_macro_sector_n10_score,0.18261438991232662,0.17885284989622457,0.825,1.5505974124111666,False
12,0;1;4;7,hyp_no_growth_low_vol_n10,0.1026708111866984,0.12667800105174445,0.625,0.5108256237659907,False
13,0;1;5;6,hyp_no_growth_low_vol_macro_sector_n10_equal,0.23384933938123184,0.15191126194527893,0.825,1.5505974124111666,False
14,0;1;5;7,hyp_no_growth_low_vol_macro_sector_n10_equal,0.09553303276064892,0.2728224497444526,0.925,2.5123056239761152,False
15,0;1;6;7,hyp_no_growth_low_vol_macro_sector_n10_score,0.11712602450491195,0.2472978417437951,0.925,2.5123056239761152,False
16,0;2;3;4,static_neutral_n10_invvol,0.2506217600009567,-0.1485468055330094,0.075,-2.512305623976115,True
17,0;2;3;5,hyp_no_growth_low_vol_macro_sector_n10_equal,0.2706007047313343,0.11456092604239027,0.925,2.5123056239761152,False
18,0;2;3;6,hyp_no_growth_low_vol_macro_sector_n10_score,0.30223604003090015,0.09571509315648158,0.925,2.5123056239761152,False
19,0;2;3;7,hyp_no_growth_low_vol_macro_sector_n10,0.15916907986411621,0.15937262157569995,0.875,1.9459101490553132,False
20,0;2;4;5,static_neutral_n10_invvol,0.18761492356517762,-0.08007823471633954,0.075,-2.512305623976115,True
21,0;2;4;6,hyp_no_growth_low_vol_macro_sector_n10_score,0.17835826837613267,0.181390268629427,0.825,1.5505974124111666,False
22,0;2;4;7,no_low_vol_n10,0.09144431719333414,0.11713197072591525,0.625,0.5108256237659907,False
