strategy,signal_date,net_return,spy_return,excess,regime,max_stock_weight,max_sector_weight,traded_notional
hyp_no_growth_low_vol_macro_sector_n10_score,2022-05-31,-0.1371857437037341,-0.0890799133124042,-0.0481058303913299,RISK_ON,0.1021861989737501,0.501745483434197,1.231543430678644
hyp_no_growth_low_vol_macro_sector_n10_score,2018-09-28,-0.1254669264433537,-0.0702131125440091,-0.0552538138993446,RISK_ON,0.1090024713116407,0.5160655660362463,0.6081426560077877
hyp_no_growth_low_vol_macro_sector_n10_score,2019-04-30,-0.1200768632885938,-0.0658592962877069,-0.054217567000886896,RISK_ON,0.108382289827224,0.6972046091002064,0.5921650261349541
hyp_no_growth_low_vol_macro_sector_n10_score,2020-02-28,-0.1146276279467155,-0.1635485116726664,0.04892088372595091,NEUTRAL,0.1099199779448086,0.7107993403902144,0.4292170528832927
hyp_no_growth_low_vol_macro_sector_n10_score,2021-12-31,-0.1034314333192509,-0.0537897150820693,-0.04964171823718161,RISK_ON,0.1028853228130423,0.5051509703008034,0.8267322884816355
hyp_no_growth_low_vol_macro_sector_n10_score,2018-11-30,-0.0919738151163293,-0.1172522056510519,0.02527839053472261,RISK_ON,0.1045517840289901,0.4980776697031436,0.7857387176675571
hyp_no_growth_low_vol_macro_sector_n10_score,2025-02-28,-0.0832715033793816,-0.0621506267927792,-0.02112087658660241,HIGH_REAL_RATES,0.1061895899401233,0.4050837144291104,0.9993776068528952
hyp_no_growth_low_vol_macro_sector_n10_score,2023-08-31,-0.0813128066830828,-0.0552666447522295,-0.026046161930853302,HIGH_REAL_RATES,0.1059822496862129,0.4110415704226299,0.7973822946558002
hyp_static_neutral_no_growth_low_vol_n10,2022-05-31,-0.1433409723933299,-0.0890799133124042,-0.05426105908092571,RISK_ON,0.1857485748541832,0.4332497420673112,1.0009503591902489
hyp_static_neutral_no_growth_low_vol_n10,2021-12-31,-0.1303495221566922,-0.0537897150820693,-0.07655980707462291,RISK_ON,0.1480484672468937,0.6147715616339473,0.7692817601553841
hyp_static_neutral_no_growth_low_vol_n10,2020-02-28,-0.1130038760138647,-0.1635485116726664,0.0505446356588017,NEUTRAL,0.1753910399678023,0.6398346946583502,0.5740188090727987
hyp_static_neutral_no_growth_low_vol_n10,2019-04-30,-0.0957186658865945,-0.0658592962877069,-0.029859369598887603,RISK_ON,0.1342425297651907,0.633924763348101,0.8292936171204953
hyp_static_neutral_no_growth_low_vol_n10,2018-09-28,-0.0934577978700298,-0.0702131125440091,-0.023244685326020698,RISK_ON,0.1588263550674462,0.5626197651874929,0.7350097492311504
hyp_static_neutral_no_growth_low_vol_n10,2018-11-30,-0.0847198781319941,-0.1172522056510519,0.03253232751905781,RISK_ON,0.1478710618424225,0.3227262897692778,0.6837276650588592
hyp_static_neutral_no_growth_low_vol_n10,2023-08-31,-0.0823648019851715,-0.0552666447522295,-0.027098157232942004,HIGH_REAL_RATES,0.1491911248832116,0.4243459441484661,0.606669073232866
hyp_static_neutral_no_growth_low_vol_n10,2021-08-31,-0.0766348882327551,-0.0446333882854445,-0.03200149994731061,RISK_ON,0.1417505482592366,0.348968626930526,0.7594269426329809
full_dynamic_n10_score,2018-09-28,-0.1461881004837395,-0.0702131125440091,-0.07597498793973041,RISK_ON,0.1027209496091677,0.499695087824711,0.7944687678382791
full_dynamic_n10_score,2020-02-28,-0.1392675453725576,-0.1635485116726664,0.024280966300108814,NEUTRAL,0.1020026429471432,0.5975314715540004,0.8166977735836011
full_dynamic_n10_score,2021-12-31,-0.1286457359277389,-0.0537897150820693,-0.0748560208456696,RISK_ON,0.102890864377676,0.6026508532988716,0.6228283744111335
full_dynamic_n10_score,2019-04-30,-0.1183642726812904,-0.0658592962877069,-0.05250497639358351,RISK_ON,0.1097630365348316,0.6960831929634775,0.6085845152494095
full_dynamic_n10_score,2022-05-31,-0.1068122253028829,-0.0890799133124042,-0.0177323119904787,RISK_ON,0.104226400295951,0.3967362540071757,0.8240176044920732
full_dynamic_n10_score,2021-08-31,-0.0921743867160675,-0.0446333882854445,-0.047540998430623,RISK_ON,0.106040422075442,0.4057308649662759,1.1835385402629728
full_dynamic_n10_score,2018-11-30,-0.0897635542723913,-0.1172522056510519,0.027488651378660606,RISK_ON,0.1082581729303181,0.3070746072567918,0.7932469592428022
full_dynamic_n10_score,2024-03-28,-0.0699599716214379,-0.0428575175852123,-0.027102454036225597,STAGFLATION,0.1063396568931173,0.7045244330830331,0.231076821947174
