portfolio,total_return,cagr,annual_volatility,sharpe_0rf,sortino_0rf,max_drawdown,calmar,positive_month_rate,months,avg_monthly_turnover_half_l1,avg_monthly_traded_notional,annualized_excess_return_arith_vs_spy,information_ratio_vs_spy
regime_factor_v2,2.119109566609447,0.14319745952810048,0.182489143645054,0.8284216345412303,1.1632170049157995,-0.21223418434548758,0.6747143961266628,0.6470588235294118,102,0.5219426443491273,1.0340813671296272,0.004901242590623583,0.039557185893588434
SPY,2.0372126900956937,0.13962453057183422,0.1723919788288763,0.8485122861722122,1.162830704397132,-0.23312918184826226,0.5989148568398108,0.6764705882352942,102,,,,
RSP,1.3838810598241964,0.10760886113130153,0.1851716498165122,0.6477487118063758,0.8356146058457548,-0.29875912056295817,0.36018602855883314,0.6274509803921569,102,,,,
